Date,Confirmed,Deaths,Recovered,Active
2020-04-13,1915247,126098,438395,1350754
2020-04-14,1985174,132996,463014,1389164
2020-04-15,2066003,141308,498925,1425770
2020-04-16,2162715,148591,529015,1485109
2020-04-17,2250439,157481,554287,1538671
2020-04-18,2324396,163952,577789,1582655
2020-04-19,2404919,168522,608557,1627840
2020-04-20,2478258,173965,629862,1674431
2020-04-21,2553508,181122,664043,1708343
2020-04-22,2630314,187877,693207,1749230
2020-04-23,2719327,194727,721689,1802911
2020-04-24,2806267,201401,771329,1833537
2020-04-25,2891199,206979,798239,1885981
2020-04-26,2964146,210862,825969,1927315
2020-04-27,3032850,215511,852382,1964957
2020-04-28,3108149,221974,884680,2001495
2020-04-29,3185195,228742,925752,2030701
2020-04-30,3268876,234704,989616,2044556
2020-05-01,3355922,239881,1026501,2089540
2020-05-02,3437608,245206,1066362,2126040
2020-05-03,3515244,248659,1097577,2169008
2020-05-04,3591321,252787,1130526,2208008
2020-05-05,3671310,258658,1166155,2246497
2020-05-06,3761332,265327,1210894,2285111
2020-05-07,3850418,270736,1249311,2330371
2020-05-08,3941935,276304,1284849,2380782
2020-05-09,4027781,280569,1337367,2409845
2020-05-10,4104027,284135,1370108,2449784
2020-05-11,4180268,287608,1416204,2476456
2020-05-12,4263867,293155,1452191,2518521
2020-05-13,4348619,298383,1506905,2543331
2020-05-14,4445724,303651,1545712,2596361
2020-05-15,4542073,308866,1592880,2640327
2020-05-16,4637485,313037,1648546,2675902
2020-05-17,4715994,316366,1688699,2710929
2020-05-18,4804278,319657,1740909,2743712
2020-05-19,4900702,324441,1792256,2784005
2020-05-20,5003730,329326,1850441,2823963
2020-05-21,5110064,334112,1900768,2875184
2020-05-22,5216964,339396,2008541,2869027
2020-05-23,5322253,343385,2062802,2916066
2020-05-24,5417579,346525,2117555,2953499
2020-05-25,5504542,347703,2180605,2976234
2020-05-26,5597064,351906,2235118,3010040
2020-05-27,5699664,357119,2297613,3044932
2020-05-28,5818978,361820,2363746,3093412
2020-05-29,5940145,366562,2440127,3133456
2020-05-30,6077978,370718,2509981,3197279
2020-05-31,6185530,373606,2585589,3226335
2020-06-01,6280725,376674,2639599,3264452
2020-06-02,6401536,381497,2743083,3276956
2020-06-03,6520924,387069,2821430,3312425
2020-06-04,6647861,392218,2890776,3364867
2020-06-05,6778724,396994,2959037,3422693
2020-06-06,6914666,400875,3030214,3483577
2020-06-07,7026925,403617,3084718,3538590
2020-06-08,7129150,407314,3235640,3486196
2020-06-09,7253492,412236,3317121,3524135
2020-06-10,7387517,417441,3395154,3574922
2020-06-11,7525631,422215,3480121,3623295
2020-06-12,7654725,426512,3558933,3669280
2020-06-13,7790735,430750,3644048,3715937
2020-06-14,7924156,434124,3714006,3776026
2020-06-15,8043794,437549,3793406,3812839
2020-06-16,8185197,444416,3890800,3849981
2020-06-17,8327050,449671,4008201,3869178
2020-06-18,8466978,454700,4088826,3923452
2020-06-19,8647784,460973,4183298,4003513
2020-06-20,8805336,465222,4298603,4041511
2020-06-21,8933875,469185,4366875,4097815
2020-06-22,9071733,472756,4458093,4140884
2020-06-23,9237071,478067,4561696,4197308
2020-06-24,9408254,483328,4677005,4247921
2020-06-25,9586141,489955,4769458,4326728
2020-06-26,9777487,494782,4875774,4406931
2020-06-27,9955597,499268,4981808,4474521
2020-06-28,10117227,502357,5070592,4544278
2020-06-29,10275799,506078,5164494,4605227
2020-06-30,10449697,511210,5281459,4657028
2020-07-01,10667386,516221,5397083,4754082
2020-07-02,10875091,521341,5681477,4672273
2020-07-03,11078585,526336,5790942,4761307
2020-07-04,11272152,530705,5986375,4755072
2020-07-05,11454847,534150,6105546,4815151
2020-07-06,11622190,537947,6228768,4855475
2020-07-07,11833034,544054,6373513,4915467
2020-07-08,12044836,549373,6531016,4964447
2020-07-09,12273063,554831,6665237,5052995
2020-07-10,12505640,560142,6804254,5141244
2020-07-11,12721968,565039,6929711,5227218
2020-07-12,12914636,568993,7041174,5304469
2020-07-13,13107415,572808,7181139,5353468
2020-07-14,13328867,578468,7322897,5427502
2020-07-15,13559984,583961,7482320,5493703
2020-07-16,13812525,589760,7634241,5588524
2020-07-17,14054563,596503,7793760,5664300
2020-07-18,14292198,602130,7944550,5745518
2020-07-19,14506845,606159,8032235,5868451
2020-07-20,14713623,610319,8190777,5912527
2020-07-21,14947078,616557,8364986,5965535
2020-07-22,15227725,623540,8541255,6062930
2020-07-23,15510481,633506,8710969,6166006
2020-07-24,15791645,639650,8939705,6212290
2020-07-25,16047190,644517,9158743,6243930
2020-07-26,16251796,648621,9293464,6309711
2020-07-27,16480485,654036,9468087,6358362
